~/projects/scratch$ ./time_sync_pll 
#  index         t1         t2      error      cfo_est
       0          0          0          0   0.00000000
       1      12000      10000       2000   0.00000000
       2      24000      21250       2750   0.02500000
       3      36000      33218       2782   0.05937500
       4      48000      45550       2450   0.09415001
       5      60000      58022       1978   0.12477501
       6      72000      70506       1494   0.14950001
       7      84000      82934       1066   0.16817501
       8      96000      95282        718   0.18150002
       9     108000     107545        455   0.19047502
      10     120000     119733        267   0.19616252
      11     132000     131861        139   0.19950002
      12     144000     143942         58   0.20123753
      13     156000     155990         10   0.20196253
      14     168000     168015        -15   0.20208754
      15     180000     180026        -26   0.20190004
      16     192000     192028        -28   0.20157504
      17     204000     204026        -26   0.20122504
      18     216000     216022        -22   0.20090005
      19     228000     228017        -17   0.20062505
      20     240000     240012        -12   0.20041254
      21     252000     252008         -8   0.20026255
      22     264000     264005         -5   0.20016254
      23     276000     276003         -3   0.20010005
      24     288000     288001         -1   0.20006254
      25     300000     300000          0   0.20005004
      26     312000     312000          0   0.20005004
      27     324000     324000          0   0.20005004
      28     336000     336000          0   0.20005004
      29     348000     348000          0   0.20005004
      30     360000     360000          0   0.20005004
      31     372000     372000          0   0.20005004
      32     384000     384000          0   0.20005004
      33     396000     396000          0   0.20005004
      34     408000     408000          0   0.20005004
      35     420000     420000          0   0.20005004
      36     432000     432000          0   0.20005004
      37     444000     444000          0   0.20005004
      38     456000     456000          0   0.20005004
      39     468000     468000          0   0.20005004
      40     480000     480000          0   0.20005004
      41     492000     492000          0   0.20005004
      42     504000     504000          0   0.20005004
      43     516000     516000          0   0.20005004
      44     528000     528000          0   0.20005004
      45     540000     540000          0   0.20005004
      46     552000     552000          0   0.20005004
      47     564000     564000          0   0.20005004
      48     576000     576000          0   0.20005004
      49     588000     588000          0   0.20005004

